BROKERTITLE,TYPE, PRICE ,BEDS,BATH,PROPERTYSQFT,ADDRESS,Neighborhood/Boroughs,State,Zipcode,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,Buyer_FirstNames,Buyer_LastName,Buyer_Email,Buyer_Phone,Buyer_STREET,Buyer_UNIT,Buyer_CITY,Buyer_DISTRICT,Buyer_REGION,Buyer_Zipcode,Buyer_budget,Seller_FirstNames,Seller_LastNames,Seller_Email,Seller_Phone,Seller_STREET,Seller_UNIT,Seller_CITY,Seller_DISTRICT,Seller_REGION,Seller_Zipcode,Employee_Lastnames,Employee_Firstnames,Employees_phone,Employees_email,Start_date,Position, Salary , Commission ,Appointment_Date,Appointment_Time,Attendence,Property_id,Date_post,Property_status,Transaction_id,Transaction_date,Payment_status,Rating
Berkshire Hathaway HomeServices Cangiano Estates,House,"749,000.00",4,1,1040,29 Canterbury Ave,Staten Island,NY,10314,United States,New York,Richmond County,Staten Island,Canterbury Avenue,"29 Canterbury Ave, Staten Island, NY 10314, USA",40.6165347,-74.1507186,Martinez-Garcia, Aisha,martinezgarciaaisha@example.com,665-014-4300,Stolle Road,,Elma,Erie,NY,14059,716000,Allen, Garam,allengaram@example.com,080-511-5926,Hilton Avenue,Unit 514,Hempstead,Nassau,NY,11530,Barron, David,777-405-9370,barrondavid@example.com,4/1/16,Buyer Agent,"171,321.00","37,450.00",1/28/21,3:32:01 PM,TRUE,353,7/27/19,Under Contract,353,2/9/22,Completed,2
,House,"499,000.00",2,3,2184.207862,119-44 193rd St,Saint Albans,NY,11412,United States,New York,Queens County,Queens,193rd Street,"119-44 193rd St, Jamaica, NY 11412, USA",40.6886004,-73.7568067,Hicks, Willie,hickswillie@example.com,181-041-7825,Brompton Road,,Hempstead,Nassau,NY,11530,504000,Galus, Haleigh,galushaleigh@example.com,951-407-9957,Blanchard Road,,Wilton,Saratoga,NY,12831,Tanicala, Priscilla,715-603-4495,tanicalapriscilla@example.com,3/19/17,Listing Specialist,"50,000.00","24,950.00",7/26/10,2:27:47 PM,FALSE,354,4/13/08,Pending,354,6/29/17,Completed,2
Douglas Elliman - 575 Madison Ave,House,"1,295,000.00",3,4,2193,269 W 87th St Apt 7B,New York,NY,10024,New York,New York County,New York,Manhattan,269,"269 W 87th St #7b, New York, NY 10024, USA",40.7895034,-73.9769713,Todd, Lathan,toddlathan@example.com,619-580-2740,Dutch Hill Road,,Ashford,Cattaraugus,NY,14171,1170000,Niemeier, Heres,niemeierheres@example.com,692-334-0828,Rider Hill Road,,Delhi,Delaware,NY,13753,Aranda, Rhett,715-778-8623,arandarhett@example.com,7/13/23,Lead Negotiator,"50,000.00","64,750.00",6/14/12,1:27:59 PM,TRUE,355,6/25/06,Pending,355,3/26/14,Completed,2
J. Milo Real Estate Ltd,Pending,"879,900.00",3,2,2242,640 Sheldon Ave,Staten Island,NY,10312,United States,New York,Richmond County,Staten Island,Sheldon Avenue,"640 Sheldon Ave, Staten Island, NY 10312, USA",40.5409077,-74.1964937,Becker, Jennifer,beckerjennifer@example.com,128-867-3017,Cove Road,,Oyster Bay,Nassau,NY,11771,909000,Hood, Anthne,hoodanthne@example.com,298-948-5571,Basswood Drive,,Cheektowaga,Erie,NY,14227,el-Abood, Mazeed,529-231-1421,elaboodmazeed@example.com,10/21/17,Buyer Agent,"87,932.00","43,995.00",11/6/14,10:18:52 AM,TRUE,356,6/21/14,Withdrawn,356,11/10/14,Pending,3
Corcoran SoHo,Co-op,"400,000.00",2,2,1150,8 Magnolia Pl # 8,Bronx,NY,10465,United States,New York,Bronx County,The Bronx,Magnolia Place,"8 Magnolia Pl, Bronx, NY 10465, USA",40.8131429,-73.808397,Bui, Saisuriya,buisaisuriya@example.com,125-229-1405,Hewitt Avenue,,Buffalo,Erie,NY,14215,416000,Tunnell, Louis,tunnelllouis@example.com,173-719-0908,Skunk Lane,,Southold,Suffolk,NY,11935,Yang, Prasanna,424-278-2185,yangprasanna@example.com,9/5/18,Sales Associate,"68,008.00","20,000.00",11/24/18,12:14:22 PM,TRUE,357,9/8/18,Sold,357,2/20/21,Completed,5
Century 21 Dawns Gold,Multi-family,"699,999.00",6,2,2184.207862,1839 Andrews Ave,Bronx,NY,10453,United States,New York,Bronx County,The Bronx,Andrews Avenue South,"1839 Andrews Ave S, Bronx, NY 10453, USA",40.8524948,-73.9151397,Ouellette, Alexander,ouellettealexander@example.com,615-379-5435,Academy Street,,Islip,Suffolk,NY,11705,697000,Cardoza, Geovanni,cardozageovanni@example.com,840-021-3559,Oak Terrace,,Schodack,Rensselaer,NY,12033,Bird, Viridiana,588-262-1017,birdviridiana@example.com,5/19/16,Real Estate Advisor,"150,883.00","34,999.95",3/12/22,11:38:13 AM,FALSE,358,3/8/22,Withdrawn,358,6/16/22,Canceled,2
Corcoran Bedford Stuyvesant,Condo,"289,000.00",1,1,666,1065 Vermont St Apt 4G,Brooklyn,NY,11207,New York,Kings County,Brooklyn,East New York,1065,"1065 Vermont St #4g, Brooklyn, NY 11207, USA",40.6541622,-73.8846778,Quintana, Gabriel,quintanagabriel@example.com,415-560-9934,Elm Avenue,Apartment 3,Glen Cove,Nassau,NY,11542,217000,el-Younis, Rashaa,elyounisrashaa@example.com,104-097-1924,East Willow Street,Suite 421,Syracuse,Onondaga,NY,13203,al-Hares, Iyaad,316-389-4669,alharesiyaad@example.com,11/4/16,Real Estate Advisor,"82,498.00","14,450.00",9/16/16,11:25:43 AM,TRUE,359,3/11/16,Under Contract,359,7/19/17,Completed,3
COMPASS,Condo,"699,000.00",1,1,616,435 Tompkins Ave Unit 305,Brooklyn,NY,11216,New York,Kings County,Brooklyn,Bedford-Stuyvesant,435,"435 Tompkins Ave #305, Brooklyn, NY 11216, USA",40.6826476,-73.9434923,Byrd, T'Andra,byrdtandra@example.com,144-459-9879,East Main Street,,Amsterdam,Montgomery,NY,12010,878000,Torrez, Briana,torrezbriana@example.com,513-562-9797,Main Street,Suite 3,Delhi,Delaware,NY,13753,Deherrera, Marina,736-688-7434,deherreramarina@example.com,1/23/17,Real Estate Advisor,"69,930.00","34,950.00",4/21/22,1:24:23 PM,TRUE,360,11/27/21,Withdrawn,360,9/4/22,Canceled,2
Century 21 Realty First,Land,"5,800.00",3,2,2184.207862,4515 Avenue N Lot 5,Brooklyn,NY,11234,New York,Kings County,Brooklyn,Flatlands,4515,"4515 Avenue N #5, Brooklyn, NY 11234, USA",40.618915,-73.931211,Silva, Ariana,silvaariana@example.com,635-916-0735,Jutland Road,,Binghamton,Broome,NY,13903,5680,el-Ghaffari, Miska,elghaffarimiska@example.com,122-530-8634,Park Street,,Syracuse,Onondaga,NY,13208,Fifita, Jun,792-309-1827,fifitajun@example.com,11/23/19,Real Estate Advisor,"76,555.00",290,3/10/13,11:32:03 AM,TRUE,361,2/9/10,Pending,361,7/11/14,Completed,3
Liberty Chateau Realty Inc,Foreclosure,"479,000.00",6,2,3100,16 Renfrew Pl,Staten Island,NY,10303,United States,New York,Richmond County,Staten Island,Renfrew Place,"16 Renfrew Pl, Staten Island, NY 10303, USA",40.6268305,-74.1471405,Garnier, Tylor,garniertylor@example.com,372-479-2707,Armory Drive,,Utica,Oneida,NY,13501,510000,Albarado, Edward,albaradoedward@example.com,171-286-8100,Seneca Parkway,,Niagara,Niagara,NY,14304,Caughran, Dale,847-583-8682,caughrandale@example.com,6/17/19,Real Estate Advisor,"50,133.00","23,950.00",4/27/22,4:16:32 PM,TRUE,362,3/19/22,Withdrawn,362,5/31/22,Canceled,3
COMPASS,Condo,"1,355,000.00",2,2,1002,435 Tompkins Ave Unit 703,Brooklyn,NY,11216,New York,Kings County,Brooklyn,Bedford-Stuyvesant,435,"435 Tompkins Ave #703, Brooklyn, NY 11216, USA",40.6826476,-73.9434923,Mccabe, Cambel,mccabecambel@example.com,918-868-7598,State Route 8,,Chester,Warren,NY,12817,1390000,al-Hai, Muzaina,alhaimuzaina@example.com,184-349-5132,Cedar Street,,Buffalo,Erie,NY,14204,el-Mohammadi, Faaiq,254-567-3284,elmohammadifaaiq@example.com,1/22/21,Real Estate Advisor,"163,293.00","67,750.00",5/15/19,9:11:00 AM,TRUE,363,12/28/17,Under Contract,363,10/28/22,Completed,3
COMPASS,Condo,"1,225,000.00",2,2,882,435 Tompkins Ave Unit 602,Brooklyn,NY,11216,New York,Kings County,Brooklyn,Bedford-Stuyvesant,435,"435 Tompkins Ave #602, Brooklyn, NY 11216, USA",40.6826476,-73.9434923,Whisenhunt, Sidney,whisenhuntsidney@example.com,109-562-0094,Brantford Path,,Geddes,Onondaga,NY,13209,1350000,Leija, Armando,leijaarmando@example.com,109-475-6203,Hudson Avenue,Apartment A,Ghent,Columbia,NY,12037,Welsh, Jerry,253-116-6750,welshjerry@example.com,10/16/22,Lead Negotiator,"82,551.00","61,250.00",8/28/20,1:22:29 PM,TRUE,364,7/5/08,Withdrawn,364,11/4/20,Canceled,2
"Island Advantage Rlty, Llc",Foreclosure,"9,999,000.00",4,6,4531,960 Park Ave Units 3W & 4C,New York,NY,10028,New York,New York County,New York,Manhattan,960,"960 Park Ave #3w, New York, NY 10028, USA",40.7779497,-73.959448,Arviso-Aguirre, Angelina,arvisoaguirreangelina@example.com,031-774-3799,Elk Street,,Buffalo,Erie,NY,14210,10800000,Watterson, Okatomi,wattersonokatomi@example.com,460-087-2697,Shanley Street,,Cheektowaga,Erie,NY,14206,Johnson, Rose,509-927-5398,johnsonrose@example.com,11/25/21,Sales Associate,"50,000.00","499,950.00",12/1/18,2:49:14 PM,FALSE,365,2/17/18,Sold,365,11/24/21,Completed,4
"Bizzarro Agency, LLC",Co-op,"105,000.00",3,1,656,2191 Bolton St Apt 5E,Bronx,NY,10462,New York,Bronx County,The Bronx,East Bronx,2191,"2191 Bolton St #5e, Bronx, NY 10462, USA",40.8560699,-73.8688751,Ra, Sameer,rasameer@example.com,136-737-5651,Jordy Court,,Hamburg,Erie,NY,14075,102000,Ten, Tommy,tentommy@example.com,885-243-1183,Clay Pitts Road,,Huntington,Suffolk,NY,11740,Gallegos, Keith,416-409-6960,gallegoskeith@example.com,5/25/15,Listing Specialist,"199,037.00","5,250.00",7/21/14,3:38:53 PM,TRUE,366,6/14/10,Sold,366,1/26/17,Completed,5
Nella Management Llc,House,"300,000.00",3,1,952,5423 Avenue M,Brooklyn,NY,11234,11234,United States,New York,Kings County,Avenue R,"5423 Avenue R, Brooklyn, NY 11234, USA",40.6162917,-73.929914,Marzett, Omnia,marzettomnia@example.com,544-466-0333,Grandview Avenue,Apartment 6D,Catskill,Greene,NY,12414,311000,Scott, Lee,scottlee@example.com,178-844-7324,Grosvenor Road,,Brighton,Monroe,NY,14610,Emerick, Joan,796-329-7431,emerickjoan@example.com,12/23/22,Lead Negotiator,"81,254.00","15,000.00",12/19/16,4:43:38 PM,TRUE,367,11/11/16,Withdrawn,367,10/1/20,Canceled,2
Keller Williams Realty NYC Grp,Multi-family,"799,000.00",5,3,2400,232 Throggs Neck Blvd,Bronx,NY,10465,United States,New York,Bronx County,The Bronx,Throgs Neck Boulevard,"232 Throgs Neck Blvd, Bronx, NY 10465, USA",40.8181836,-73.812739,Garcia, Alonzo,garciaalonzo@example.com,121-949-3259,East Genesee Street,,Auburn,Cayuga,NY,13021,723000,el-Momin, Iffat,elmominiffat@example.com,588-865-1127,Onondaga Street,,Lewiston,Niagara,NY,14092,Regan, Zachary,421-506-9325,reganzachary@example.com,7/21/16,Buyer Agent,"205,288.00","39,950.00",1/8/14,12:59:18 PM,TRUE,368,12/21/13,Sold,368,1/12/14,Completed,4
NY Home Ventures,Co-op,"202,000.00",2,1,1453,18-70 211 St Unit 2A,Bayside,NY,11360,New York,Queens County,Queens,Bayside,18-70,"18-70 211th St #2a, Bayside, NY 11360, USA",40.7802813,-73.7818912,Fierro, Anjelica,fierroanjelica@example.com,083-865-6457,Frederick Street,,Amsterdam,Montgomery,NY,12010,219000,Soto, Victor,sotovictor@example.com,668-635-0856,Old Mine Road,Apartment B,Southeast,Putnam,NY,10509,Alvarez-Jaime, Manuel,756-422-4550,alvarezjaimemanuel@example.com,4/24/21,Listing Specialist,"250,000.00","10,100.00",4/15/21,11:31:18 AM,TRUE,369,4/11/21,Sold,369,7/16/21,Completed,5
Coldwell Banker Advantage,Contingent,"720,000.00",3,2,1430,190 Chestnut Ave,Staten Island,NY,10305,United States,New York,Richmond County,Staten Island,Chestnut Avenue,"190 Chestnut Ave, Staten Island, NY 10305, USA",40.6149561,-74.0745548,Tamblyn, Dakota,tamblyndakota@example.com,889-049-6479,Winding Lane,,New Scotland,Albany,NY,12186,686000,Nguyen, Alexander,nguyenalexander@example.com,947-889-2695,Lark Street,,Dunkirk,Chautauqua,NY,14048,al-Omer, Khaleel,282-110-9467,alomerkhaleel@example.com,12/20/22,Sales Associate,"74,120.00","36,000.00",8/16/20,10:45:27 AM,TRUE,370,4/16/19,Withdrawn,370,6/4/22,Canceled,2
Apollo Point Realty LLC,House,"600,000.00",5,2,2184.207862,392 E 7th St,Kensington,NY,11218,United States,New York,Kings County,Brooklyn,East 7th Street,"392 E 7th St, Brooklyn, NY 11218, USA",40.6422956,-73.972787,Huliganga, Jacob,huligangajacob@example.com,106-414-1646,Cynthia Lane,,Brookhaven,Suffolk,NY,11934,745000,Mannings, Monet,manningsmonet@example.com,677-021-1234,Old Town Road,,Brookhaven,Suffolk,NY,11733,Pemberton, Seychelle,857-956-3200,pembertonseychelle@example.com,3/8/20,Lead Negotiator,"79,809.00","30,000.00",11/2/21,4:23:59 PM,FALSE,371,7/15/21,Under Contract,371,12/21/21,Completed,3
Douglas Elliman - 237 Smith St,Co-op,"599,000.00",3,1,1200,7901 4th Ave Apt F7,Brooklyn,NY,11209,New York,Kings County,Brooklyn,Bay Ridge,7901,"7901 4th Ave Apt D7, Brooklyn, NY 11209, USA",40.6279352,-74.0260154,Beazer, Raul,beazerraul@example.com,157-054-1975,Chili Riga Center Road,Unit H19,Riga,Monroe,NY,14428,500000,Smiley, Joseph,smileyjoseph@example.com,132-178-0923,Maple Hill Road,,Wales,Erie,NY,14139,Kuhlmann Kazay, Marceen,881-312-8723,kuhlmannkazaymarceen@example.com,11/13/20,Listing Specialist,"250,000.00","29,950.00",5/5/21,4:38:55 PM,TRUE,372,11/8/20,Active,372,7/3/21,Completed,2
Berkshire Hathaway HomeServices Cangiano Estates,Condo,"235,000.00",2,1,860,162 Arlo Rd Unit A,Staten Island,NY,10301,New York,Richmond County,Staten Island,Mid Island,162,"162 Arlo Rd # A, Staten Island, NY 10301, USA",40.6192765,-74.09515,Kim, Paige,kimpaige@example.com,191-079-2089,Cornwell Avenue,,Hempstead,Nassau,NY,11565,224000,Tran, Brandon,tranbrandon@example.com,894-577-7662,East River Road,,Grand Island,Erie,NY,14072,Barron, David,777-405-9370,barrondavid@example.com,4/1/16,Buyer Agent,"171,321.00","11,750.00",6/15/09,12:51:17 PM,FALSE,373,10/8/08,Active,373,9/20/10,Completed,2
Douglas Elliman - Franklin Square,Co-op,"319,000.00",3,1,960,58-42 251st St Unit 190,Little Neck,NY,11362,United States,New York,Queens County,Queens,251st Street,"58- 42 251st St, Queens, NY 11362, USA",40.7598591,-73.7290086,al-Sahli, Shaahira,alsahlishaahira@example.com,793-473-7521,Argonne Drive,,Tonawanda,Erie,NY,14217,345000,al-Masri, Aanisa,almasriaanisa@example.com,756-552-1275,Lincoln Street,,Gloversville,Fulton,NY,12078,Pham, David,620-782-2267,phamdavid@example.com,11/4/16,Listing Specialist,"50,000.00","15,950.00",8/2/18,4:57:49 PM,TRUE,374,3/17/08,Sold,374,1/9/21,Completed,5
Keller Williams Rlty Landmark,Multi-family,"950,000.00",12,6,2184.207862,18-29 George St,Ridgewood,NY,11385,United States,New York,Queens County,Queens,George Street,"18-29 George St, Flushing, NY 11385, USA",40.7000145,-73.9010076,Flemmer, Brian,flemmerbrian@example.com,464-432-3406,Brand Road,,Galen,Wayne,NY,14433,998000,Sarabia, Elijiah,sarabiaelijiah@example.com,914-880-4070,Sunset Street,,Rochester,Monroe,NY,14606,Costello, Porcalynn,554-104-3616,costelloporcalynn@example.com,11/10/19,Listing Specialist,"125,405.00","47,500.00",3/6/15,4:12:22 PM,TRUE,375,8/14/14,Under Contract,375,9/16/15,Completed,3
Carollo Real Estate Inc,Multi-family,"1,088,888.00",4,2,2184.207862,15-03 201st St,Bayside,NY,11360,United States,New York,Queens County,Queens,201st Street,"15-03 201st St, Bayside, NY 11360, USA",40.7860789,-73.7928524,Lindsay, Jeremiah,lindsayjeremiah@example.com,012-958-1562,Manitou Drive,,Alden,Erie,NY,14004,1020000,Mcginnis, Derek,mcginnisderek@example.com,246-200-7099,Garden City Street,,Islip,Suffolk,NY,11706,Merriweather, Samantha,614-408-5370,merriweathersamantha@example.com,9/30/22,Lead Negotiator,"71,875.00","54,444.40",11/16/14,9:39:15 AM,TRUE,376,9/4/12,Withdrawn,376,10/8/15,Canceled,3
Better Homes and Gardens Real Estate Safari Realty,House,"1,250,000.00",4,4,3300,24 Gianna Ct,Staten Island,NY,10306,United States,New York,Richmond County,Staten Island,Gianna Court,"24 Gianna Ct, Staten Island, NY 10306, USA",40.5675492,-74.140764,Williams, Erin,williamserin@example.com,096-608-5110,Main Street,Apartment 3,Cohoes,Albany,NY,12047,1120000,Watson, Kierra,watsonkierra@example.com,228-848-1258,Simons Road,,Schodack,Rensselaer,NY,12033,Garcia, Edgar,946-296-4769,garciaedgar@example.com,8/21/22,Sales Associate,"194,325.00","62,500.00",11/30/19,12:51:49 PM,FALSE,377,8/1/18,Active,377,4/14/21,Completed,3
J Shayovitz Real Estate Corp,Land,"650,000.00",3,2,2184.207862,2998 Fulton St,Brooklyn,NY,11208,United States,New York,Kings County,Brooklyn,Fulton Street,"2998 Fulton St, Brooklyn, NY 11208, USA",40.6799197,-73.8839962,Sameshima, Ji,sameshimaji@example.com,473-433-0315,Rocky Point Road,,Southold,Suffolk,NY,11939,659000,Mayer-Czechanski, Matthew,mayerczechanskimatthew@example.com,925-815-7615,Main Street,,Bedford,Westchester,NY,10507,al-Rahaim, Tamanna,333-523-8185,alrahaimtamanna@example.com,2/1/17,Real Estate Advisor,"50,000.00","32,500.00",7/22/16,3:49:33 PM,FALSE,378,2/9/16,Sold,378,4/14/22,Completed,5
Claire Properties,House,"774,888.00",3,2,960,417 Genesee Ave,Staten Island,NY,10312,United States,New York,Richmond County,Staten Island,Genesee Avenue,"417 Genesee Ave, Staten Island, NY 10312, USA",40.5525576,-74.1709014,Nevares, Cameron,nevarescameron@example.com,194-314-9085,Patchogue Drive,,Brookhaven,Suffolk,NY,11789,773000,Arevalo, Shanece,arevaloshanece@example.com,797-359-0291,Shady Brook Lane,,Haverstraw,Rockland,NY,10970,Jackson, Emily,910-744-5402,jacksonemily@example.com,6/15/17,Real Estate Advisor,"50,000.00","38,744.40",3/19/18,4:16:41 PM,TRUE,379,2/7/12,Under Contract,379,8/8/22,Completed,3
"Robert E. Hill, Inc.",Co-op,"105,509.00",1,1,650,60 Knolls Cres Apt 8F,Bronx,NY,10463,New York,Bronx County,The Bronx,Spuyten Duyvil,60,"60 Knolls Crescent #8f, Bronx, NY 10463, USA",40.879078,-73.9175196,Mai, Jing,maijing@example.com,080-483-1137,Valerie Court,,Islip,Suffolk,NY,11782,86600,Cherrington, Jamal,cherringtonjamal@example.com,190-527-0977,Backer Road,,Catlin,Chemung,NY,14812,Singh, Parth,887-360-8025,singhparth@example.com,7/7/22,Buyer Agent,"50,000.00","5,275.45",5/17/17,2:11:48 PM,TRUE,380,12/22/16,Under Contract,380,8/18/17,Completed,2
Douglas Elliman  -111 Fifth Ave,Multi-family,"995,000.00",5,2,2184.207862,544 Madison St,Brooklyn,NY,11221,United States,New York,Kings County,Brooklyn,Madison Street,"544 Madison St, Brooklyn, NY 11221, USA",40.6862289,-73.9364224,Szeto, Daniel,szetodaniel@example.com,913-770-4891,East Main Street,Apartment 1,Rochester,Monroe,NY,14609,998000,Farmer, Mariah,farmermariah@example.com,183-358-0649,Hessian Hills Road,,Cortlandt,Westchester,NY,10520,Begay, Tevin,956-566-7530,begaytevin@example.com,3/22/16,Buyer Agent,"250,000.00","49,750.00",8/29/11,9:22:18 AM,TRUE,381,7/25/05,Active,381,3/27/19,Completed,2
Douglas Elliman  -111 Fifth Ave,Multi-family,"995,000.00",5,2,2184.207862,544 Madison St,Brooklyn,NY,11221,United States,New York,Kings County,Brooklyn,Madison Street,"544 Madison St, Brooklyn, NY 11221, USA",40.6862289,-73.9364224,Kekahbah, Hannah,kekahbahhannah@example.com,148-502-0792,Copper Rock Road,,Newburgh,Orange,NY,12586,1010000,Jarvis, Istiaq,jarvisistiaq@example.com,484-553-2731,Main Street,Apartment 1,Philipstown,Putnam,NY,10516,Martinez, Samantha,614-447-9193,martinezsamantha@example.com,9/15/18,Real Estate Advisor,"114,701.00","49,750.00",3/2/18,9:59:53 AM,TRUE,382,7/28/16,Active,382,3/5/19,Completed,2
CENTURY 21 Kafcos Realty,House,"769,000.00",4,2,1728,4322 E Tremont Ave,Bronx,NY,10465,United States,New York,Bronx County,The Bronx,East Tremont Avenue,"4322 E Tremont Ave, Bronx, NY 10465, USA",40.8152029,-73.8154969,Sutton, Hali,suttonhali@example.com,070-010-4873,Landon Street,Apartment 1,Buffalo,Erie,NY,14208,782000,Miles, Aron,milesaron@example.com,183-811-7389,Cynthia Lane,,Hempstead,Nassau,NY,11566,el-Samara, Zubaida,646-591-8621,elsamarazubaida@example.com,3/20/16,Real Estate Advisor,"250,000.00","38,450.00",6/23/12,12:51:36 PM,FALSE,383,9/25/11,Pending,383,3/9/18,Completed,1
Ooakb&F Inc,Co-op,"395,995.00",2,1,1100,5601 Riverdale Ave Apt 2B,Bronx,NY,10471,New York,Bronx County,The Bronx,North Riverdale,5601,"5601 Riverdale Ave #2b, Bronx, NY 10471, USA",40.9048823,-73.9051113,Molina, Ashley,molinaashley@example.com,265-964-5452,Lincoln Place,,Liberty,Sullivan,NY,12754,354000,el-Musa, Abdullah,elmusaabdullah@example.com,351-573-7044,Wolfs Lane,Suite 9,Pelham,Westchester,NY,10803,Silvas, Skylor,303-961-1687,silvasskylor@example.com,9/3/16,Sales Associate,"109,960.00","19,799.75",3/8/20,3:13:10 PM,TRUE,384,3/29/18,Active,384,9/24/22,Completed,2
Peter Ashe Real Estate- Peter Ashe Real Estate,For sale,"975,000.00",1,2,900,235 E 55th St Apt 45B,New York,NY,10022,New York,New York County,New York,Manhattan,231-235,"231-235 E 55th St # 45a, New York, NY 10022, USA",40.7585686,-73.9669708,Powell, Crysta,powellcrysta@example.com,079-318-6165,Glenmere Way,,Islip,Suffolk,NY,11741,1020000,Cruz, Rosalina,cruzrosalina@example.com,420-304-5058,Tiernan Ridge Road,,Norfolk,St Lawrence,NY,13621,Campbell, William,910-682-3230,campbellwilliam@example.com,3/21/23,Buyer Agent,"102,393.00","48,750.00",12/10/21,1:12:09 PM,TRUE,385,11/20/20,Sold,385,3/15/22,Completed,5
Morris Park Realty Group,House,"499,999.00",2,1,1744,616 City Island Ave,Bronx,NY,10464,United States,New York,Bronx County,The Bronx,City Island Avenue,"616 City Island Ave, Bronx, NY 10464, USA",40.8549429,-73.7908303,al-Salik, Humaira,alsalikhumaira@example.com,622-579-5669,Thomas Street,Apartment 2,Buffalo,Erie,NY,14206,568000,Smith, Dakota,smithdakota@example.com,158-863-9316,Valley Lane,,New Castle,Westchester,NY,10514,House, Jennifer,667-465-2963,housejennifer@example.com,10/6/22,Listing Specialist,"52,063.00","24,999.95",1/31/17,10:26:10 AM,FALSE,386,4/17/05,Pending,386,3/23/21,Completed,2
Douglas Elliman - 1995 Broadway,Co-op,"1,649,000.00",2,2,2184.207862,165 W End Ave Apt 7N,New York,NY,10023,New York,New York County,New York,Manhattan,165,"165 West End Ave #7n, New York, NY 10023, USA",40.777244,-73.9868738,Sanchez-Morones, Melany,sanchezmoronesmelany@example.com,348-346-0206,Eggert Road,,Buffalo,Erie,NY,14215,1720000,Orozco, Christian,orozcochristian@example.com,130-510-4606,Lozier Street,,Rochester,Monroe,NY,14611,Ayala Chavez, Brandon,409-244-7430,ayalachavezbrandon@example.com,2/12/20,Listing Specialist,"50,000.00","82,450.00",4/18/16,4:18:33 PM,TRUE,387,5/11/08,Active,387,7/7/20,Completed,2
EXP Realty,Co-op,"365,000.00",2,1,2184.207862,83-40 Austin St Unit 3E,Kew Gardens,NY,11415,New York,Queens County,Queens,Jamaica,83-40,"83-40 Austin St #3e, Jamaica, NY 11415, USA",40.7083799,-73.8290102,Merriweather, Lakisha,merriweatherlakisha@example.com,074-979-5642,Seneca Manor Drive,Apartment 1003,Rochester,Monroe,NY,14621,323000,Perry, Glenn,perryglenn@example.com,139-967-2382,Scotchtown Place,,Wallkill,Orange,NY,10941,al-Aboud, Kameel,870-557-3103,alaboudkameel@example.com,11/2/15,Listing Specialist,"50,000.00","18,250.00",3/27/17,11:30:01 AM,TRUE,388,12/23/06,Withdrawn,388,7/4/17,Canceled,3
Corcoran SoHo,Pending,"748,999.00",3,2,1620,122 North Dr,Staten Island,NY,10305,United States,New York,Richmond County,Staten Island,North Drive,"122 North Dr, Staten Island, NY 10305, USA",40.606691,-74.0724094,Youngblood, Samantha,youngbloodsamantha@example.com,826-182-1910,Leonard Street,,Northumberland,Saratoga,NY,12831,716000,De La Torre, Marvin,delatorremarvin@example.com,448-808-2096,Ashland Avenue,,Colonie,Albany,NY,12110,Yang, Prasanna,424-278-2185,yangprasanna@example.com,9/5/18,Sales Associate,"68,008.00","37,449.95",9/8/22,9:02:22 AM,TRUE,389,6/25/20,Active,389,10/21/22,Pending,2
Keller Williams Legendary,House,"635,000.00",3,2,2184.207862,118-14 201st Pl,Saint Albans,NY,11412,United States,New York,Queens County,Queens,201 Place,"118-14 201 Pl, St. Albans, NY 11412, USA",40.6933533,-73.7503369,el-Dib, Jaarallah,eldibjaarallah@example.com,543-716-2011,Oregon Road,,Southold,Suffolk,NY,11952,656000,Xiong, Jaylyn,xiongjaylyn@example.com,294-008-7101,East Monroe Street,Apartment 224,Little Falls,Herkimer,NY,13365,el-Lodi, Haajid,548-576-8854,ellodihaajid@example.com,1/13/20,Listing Specialist,"50,000.00","31,750.00",4/18/10,2:30:47 PM,TRUE,390,1/7/06,Pending,390,7/31/12,Completed,2
Corcoran SoHo,Co-op,"149,000.00",3,1,400,87 Saint Marks Pl Apt 4C,New York,NY,10009,New York,New York County,New York,Manhattan,87,"87 St Marks Pl #4c, New York, NY 10009, USA",40.7276196,-73.9848906,Essad, Crystal,essadcrystal@example.com,842-246-2818,John Joy Road,,Woodstock,Ulster,NY,12498,139000,Grimaldo, Darrian,grimaldodarrian@example.com,132-143-4411,Fargo Avenue,Apartment 1,Buffalo,Erie,NY,14213,Trimble, Claymon,721-495-5005,trimbleclaymon@example.com,1/14/19,Real Estate Advisor,"50,000.00","7,450.00",10/8/11,10:52:50 AM,TRUE,391,11/11/08,Active,391,8/27/12,Completed,2
